NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,11A,"-2.14464, -79.96763",-2.14464,-79.96763
METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MECÁNICA DE FLUIDOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
NUTRICIÓN CLÍNICA II,3H,"-2.15229, -79.95582",-2.15229,-79.95582
FISIOLOGÍA VEGETAL,3H,"-2.15229, -79.95582",-2.15229,-79.95582
GESTIÓN DE LA PRODUCTIVIDAD,9B,"-2.14715, -79.96725",-2.14715,-79.96725
OPERACIÓN TURÍSTICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CONSERVACIÓN Y MANEJO AMBIENTAL EN TURISMO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INGENIERÍA DE LA CALIDAD,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GUION,14B,"-2.14361, -79.96212",-2.14361,-79.96212
HISTORIA Y FILOSOFÍA DE LAS CIENCIAS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
APRECIACIÓN CINEMATOGRÁFICA,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
COMPUTACIÓN Y SOCIEDAD,11D,"-2.14542, -79.96613",-2.14542,-79.96613
HIDROLOGÍA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
HIDRÁULICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ECONOMÍA POLÍTICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
INGENIERÍA DE BIOPROCESOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
ESTRUCTURAS METÁLICAS,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO GRÁFICO I,14B,"-2.14361, -79.96212",-2.14361,-79.96212
BIOLOGÍA GENERAL,3H,"-2.15229, -79.95582",-2.15229,-79.95582
INGLÉS III,8F,"-2.14877, -79.96752",-2.14877,-79.96752
MATEMÁTICAS,9I,"-2.14608, -79.96717",-2.14608,-79.96717
BALANCE DE MATERIA Y ENERGÍA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
PROTECCIONES ELÉCTRICAS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
CENTRALES ELÉCTRICAS,11F,"-2.14528, -79.96718",-2.14528,-79.96718
FARMACOLOGÍA Y NUTRICIÓN,3H,"-2.15229, -79.95582",-2.15229,-79.95582
EPIDEMIOLOGÍA Y SALUD PÚBLICA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
ECONOMETRÍA II,9B,"-2.14715, -79.96725",-2.14715,-79.96725
HISTORIA DEL CINE,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ORGANIZACIÓN INDUSTRIAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MATEMÁTICAS FINANCIERAS,9B,"-2.14715, -79.96725",-2.14715,-79.96725
SEGURIDAD DE LA INFORMACIÓN,11A,"-2.14464, -79.96763",-2.14464,-79.96763
ERGONOMÍA LABORAL,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DISEÑO DE PUENTES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
TALLER DE ILUSTRACIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
VIBRACIONES MECÁNICAS,5K,"-2.14675, -79.96303",-2.14675,-79.96303
DESARROLLO SOCIAL Y NUEVAS TECNOLOGÍAS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
FÍSICA GENERAL,9M,"-2.14682, -79.96671",-2.14682,-79.96671
PROGRAMACIÓN ORIENTADA A OBJETOS,11A,"-2.14464, -79.96763",-2.14464,-79.96763
DISEÑO DE SISTEMAS TERMOFLUIDOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
INGENIERÍA AMBIENTAL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
LEGISLACIÓN AUDIOVISUAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
DIBUJO II,14B,"-2.14361, -79.96212",-2.14361,-79.96212
DIBUJO ARTÍSTICO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
TÉCNICAS DIETÉTICAS,3H,"-2.15229, -79.95582",-2.15229,-79.95582
MICROBIOLOGÍA GENERAL,3H,"-2.15229, -79.95582",-2.15229,-79.95582
INGLÉS IV,8F,"-2.14877, -79.96752",-2.14877,-79.96752
ÁLGEBRA LINEAL I,9I,"-2.14608, -79.96717",-2.14608,-79.96717
FENÓMENOS DE TRANSPORTE DE MASA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
FUNDAMENTOS DE PROGRAMACIÓN,11A,"-2.14464, -79.96763",-2.14464,-79.96763
DISEÑO Y SIMULACIÓN DE MÁQUINAS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
TÉCNICAS DE IMPRESIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
SERVICIOS DE ALIMENTACIÓN,3H,"-2.15229, -79.95582",-2.15229,-79.95582
MORFOFISIOLOGÍA HUMANA I,3H,"-2.15229, -79.95582",-2.15229,-79.95582
MORFOFISIOLOGÍA HUMANA II,3H,"-2.15229, -79.95582",-2.15229,-79.95582
INGLÉS I,8F,"-2.14877, -79.96752",-2.14877,-79.96752
ECONOMÍA GERENCIAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
GESTIÓN DEL PATRIMONIO CULTURAL,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ESTADÍSTICA,9I,"-2.14608, -79.96717",-2.14608,-79.96717
ESTADÍSTICA I,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SISTEMAS DE CONTROL DE GESTIÓN,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
INGENIERÍA DE SOFTWARE I,11A,"-2.14464, -79.96763",-2.14464,-79.96763
ECONOMETRÍA III,9B,"-2.14715, -79.96725",-2.14715,-79.96725
CONTABILIDAD DE COSTOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SISTEMAS DE INFORMACIÓN,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
INTELIGENCIA ARTIFICIAL,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS DE CONTROL APLICADOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
HIDRÁULICA Y NEUMÁTICA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
DIRECCIÓN AUDIOVISUAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
INGLÉS II,8F,"-2.14877, -79.96752",-2.14877,-79.96752
FUNDAMENTOS DE MARKETING,9B,"-2.14715, -79.96725",-2.14715,-79.96725
ADMINISTRACIÓN LOGÍSTICA,9C,"-2.14725, -79.96693",-2.14725,-79.96693
GEOGRAFÍA FÍSICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CONTABILIDAD FINANCIERA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
OPERACIONES UNITARIAS I,9M,"-2.14682, -79.96671",-2.14682,-79.96671
DISEÑO GRÁFICO IV,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
EMPRENDIMIENTO E INNOVACIÓN,VRA,"-2.14862, -79.9677",-2.14862,-79.9677
CONTROLES ELÉCTRICOS INDUSTRIALES,11C,"-2.14565, -79.96656",-2.14565,-79.96656
DISEÑO DE APLICACIONES EN TELECOMUNICACIONES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
COMUNICACIONES INDUSTRIALES Y SISTEMAS SCADA,11A,"-2.14464, -79.96763",-2.14464,-79.96763
DIRECCIÓN DE PROYECTOS INFORMÁTICOS,11A,"-2.14464, -79.96763",-2.14464,-79.96763
TERMOFLUIDOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
TIPOGRAFÍA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
BIOLOGÍA CELULAR Y MOLECULAR,3H,"-2.15229, -79.95582",-2.15229,-79.95582
SISTEMAS DE CONTROL,11D,"-2.14542, -79.96613",-2.14542,-79.96613
SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,11A,"-2.14464, -79.96763",-2.14464,-79.96763
SISTEMAS DE REDES,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
PLANIFICACIÓN DE SISTEMAS DE POTENCIA,11F,"-2.14528, -79.96718",-2.14528,-79.96718
INGENIERÍA DE SOFTWARE II,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
INGENIERÍA DE LA CONSTRUCCIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
ESTUDIO DE CASOS DE CIENCIAS SOCIALES,9F,"-2.14717, -79.96779",-2.14717,-79.96779
MATEMÁTICAS DISCRETAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SISTEMAS DIGITALES II,11A,"-2.14464, -79.96763",-2.14464,-79.96763
TRANSMISIÓN DE SERVICIOS MULTIMEDIA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
INTRODUCCIÓN A LA HISTORIA Y ETNOHISTORIA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
DISEÑO GRÁFICO II,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
DISEÑO DE ELEMENTOS DE MÁQUINAS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
OPERACIONES UNITARIAS II,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INTRODUCCIÓN A LA ANTROPOLOGÍA Y ARQUEOLOGÍA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ANIMACIÓN II,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
HISTORIA DEL ARTE,14B,"-2.14361, -79.96212",-2.14361,-79.96212
TERMODINÁMICA II,9M,"-2.14682, -79.96671",-2.14682,-79.96671
ARTE Y CIENCIA,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
AUTOMATIZACIÓN DE PROCESOS INDUSTRIALES,11A,"-2.14464, -79.96763",-2.14464,-79.96763
MÁQUINAS Y TRANSFORMADORES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
NUTRICIÓN HUMANA Y METABOLISMO,3H,"-2.15229, -79.95582",-2.15229,-79.95582
DINÁMICA DE PROCESOS Y CONTROL,8G,"-2.14859, -79.9672",-2.14859,-79.9672
MATEMÁTICAS AVANZADAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
ANIMACIÓN I,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
PLANIFICACIÓN DE ESPACIOS TURÍSTICOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
DESARROLLO DE JUEGOS DE VIDEO,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
PROYECTO DE DISEÑO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
AUDITORÍA OPERACIONAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
INVESTIGACIÓN DE OPERACIONES,12H,"-2.14423, -79.96633",-2.14423,-79.96633
DISEÑO DE PROCESOS TÉRMICOS II,12H,"-2.14423, -79.96633",-2.14423,-79.96633
INVESTIGACIÓN APLICADA AL DISEÑO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MATERIA INTEGRADORA DE NUTRICIÓN Y DIETÉTICA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
CONTABILIDAD AVANZADA,9B,"-2.14715, -79.96725",-2.14715,-79.96725
GESTIÓN DE LA RELACIÓN CON EL CLIENTE,9B,"-2.14715, -79.96725",-2.14715,-79.96725
COMUNICACIONES INALÁMBRICAS,11A,"-2.14464, -79.96763",-2.14464,-79.96763
ANÁLISIS DE REDES ELÉCTRICAS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
EVALUACIÓN DE POLÍTICAS PÚBLICAS,8B,"-2.14821, -79.96861",-2.14821,-79.96861
DISEÑO DE PLANTAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
ANÁLISIS DE VALOR DE PRODUCTO,12C,"-2.14497, -79.96579",-2.14497,-79.96579
INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,14B,"-2.14361, -79.96212",-2.14361,-79.96212
COMPORTAMIENTO ORGANIZACIONAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
PATRIMONIO NATURAL Y CULTURAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
FORMAS E HIDROSTÁTICA DEL BUQUE,FIMCM,"-2.14428, -79.96637",-2.14428,-79.96637
CONTROL AVANZADO,11D,"-2.14542, -79.96613",-2.14542,-79.96613
DESARROLLO DE APLICACIONES WEB Y MÓVILES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
ECUACIONES DIFERENCIALES Y ÁLGEBRA LINEAL,9M,"-2.14682, -79.96671",-2.14682,-79.96671
COMERCIO EXTERIOR,9F,"-2.14717, -79.96779",-2.14717,-79.96779
LEGISLACIÓN Y SOBERANÍA ALIMENTARIA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
ATENCIÓN PLENA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
MATERIA INTEGRADORA DE INGENIERÍA QUÍMICA,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
SEGURIDAD Y SALUD OCUPACIONAL,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DINÁMICA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
FÍSICA: ELECTRICIDAD Y MAGNETISMO,9M,"-2.14682, -79.96671",-2.14682,-79.96671
DESARROLLO SOSTENIBLE DEL TURISMO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
TALLER MECÁNICO,12H,"-2.14423, -79.96633",-2.14423,-79.96633
MODELOS ESTOCÁSTICOS PARA MANUFACTURA Y SERVICIOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DISEÑO DE INFORMACIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
DIBUJO  I,14B,"-2.14361, -79.96212",-2.14361,-79.96212
PRODUCCIÓN EJECUTIVA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
COMUNICACIÓN,8G,"-2.14859, -79.9672",-2.14859,-79.9672
CINÉTICA Y REACTORES,9C,"-2.14725, -79.96693",-2.14725,-79.96693
CÁLCULO VECTORIAL,9M,"-2.14682, -79.96671",-2.14682,-79.96671
FÍSICA: MECÁNICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
PLANIFICACIÓN DE LA PRODUCCIÓN,12C,"-2.14497, -79.96579",-2.14497,-79.96579
PROCESOS INDUSTRIALES,12C,"-2.14497, -79.96579",-2.14497,-79.96579
PRÁCTICA TRIBUTARIA,9B,"-2.14715, -79.96725",-2.14715,-79.96725
QUÍMICA INORGÁNICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INVESTIGACIÓN DE MERCADOS,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
CONTROL INTERNO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
METODOLOGÍAS PARA LA MEJORA CONTINUA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
INSTRUMENTACIÓN INDUSTRIAL,11A,"-2.14464, -79.96763",-2.14464,-79.96763
DISEÑO Y MANUFACTURA ASISTIDA POR COMPUTADORA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
CONTABILIDAD III,9B,"-2.14715, -79.96725",-2.14715,-79.96725
DERECHO SOCIETARIO Y LABORAL,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
AUDITORÍA FINANCIERA I,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
CÁLCULO DE UNA VARIABLE,9M,"-2.14682, -79.96671",-2.14682,-79.96671
FENÓMENOS DE TRANSPORTE DE MOMENTUM,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INTRODUCCIÓN A LA INGENIERÍA MECÁNICA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DISEÑO DE MARCA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ARTE Y TECNOLOGÍA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
BIOÉTICA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
DERECHO TURÍSTICO Y AMBIENTAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
MUESTREO,9M,"-2.14682, -79.96671",-2.14682,-79.96671
ANÁLISIS NUTRICIONAL DE LOS ALIMENTOS,3H,"-2.15229, -79.95582",-2.15229,-79.95582
FENÓMENOS DE TRANSPORTE DE CALOR,8G,"-2.14859, -79.9672",-2.14859,-79.9672
ÁLGEBRA LINEAL,9M,"-2.14682, -79.96671",-2.14682,-79.96671
CIENCIAS DE LA SOSTENIBILIDAD,9M,"-2.14682, -79.96671",-2.14682,-79.96671
TEORÍA DE LA COMUNICACIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
SOCIOLOGÍA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
FUNDAMENTOS DE INVERSIONES,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
CIENCIA E INGENIERÍA DE MATERIALES,12C,"-2.14497, -79.96579",-2.14497,-79.96579
ESTADÍSTICA II,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INGENIERÍA DE MÉTODOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
GESTIÓN DE RECURSOS HUMANOS,9B,"-2.14715, -79.96725",-2.14715,-79.96725
ESTADÍSTICA,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
"GESTION DE CALIDAD, AMBIENTE Y SEGURIDAD EN LA INDUSTRIA",8G,"-2.14859, -79.9672",-2.14859,-79.9672
ANÁLISIS FINANCIERO,9B,"-2.14715, -79.96725",-2.14715,-79.96725
PLANIFICACIÓN Y CONTROL FINANCIERO,9C,"-2.14725, -79.96693",-2.14725,-79.96693
AUDITORÍA TRIBUTARIA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
QUÍMICA GENERAL,9M,"-2.14682, -79.96671",-2.14682,-79.96671
CONTABILIDAD II,9B,"-2.14715, -79.96725",-2.14715,-79.96725
PLANIFICACIÓN ESTRATÉGICA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
DIRECCIÓN ESCÉNICA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MATEMÁTICAS,14B,"-2.14361, -79.96212",-2.14361,-79.96212
AUDITORÍA FINANCIERA II,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
DERECHO TRIBUTARIO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
LOGÍSTICA EN SERVICIO,9M,"-2.14682, -79.96671",-2.14682,-79.96671
FUNDAMENTOS DE ADMINISTRACIÓN,9B,"-2.14715, -79.96725",-2.14715,-79.96725
PRONÓSTICO Y CONTROL DE INVENTARIO,12C,"-2.14497, -79.96579",-2.14497,-79.96579
QUÍMICA ANALÍTICA E INSTRUMENTAL,9M,"-2.14682, -79.96671",-2.14682,-79.96671
CRECIMIENTO Y DESARROLLO ECONÓMICO,9B,"-2.14715, -79.96725",-2.14715,-79.96725
QUÍMICA ORGÁNICA I,9M,"-2.14682, -79.96671",-2.14682,-79.96671
DESARROLLO PROFESIONAL,9B,"-2.14715, -79.96725",-2.14715,-79.96725
FORMULACION Y EVALUACIÓN SOCIAL DE PROYECTOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
MICROECONOMÍA III,9F,"-2.14717, -79.96779",-2.14717,-79.96779
MICROECONOMÍA III,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
AUDITORÍA FORENSE,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
DISEÑO DE PLANTAS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
AUDITORÍA DE SISTEMAS DE INFORMACIÓN,9B,"-2.14715, -79.96725",-2.14715,-79.96725
INTRODUCCIÓN A LAS TÉCNICAS DE AUDITORÍA,9C,"-2.14725, -79.96693",-2.14725,-79.96693
GESTIÓN TRIBUTARIA,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
HISTORIA DEL DISEÑO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ROBOTS MÓVILES Y ARTICULADOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
FUNDAMENTOS DE AUDITORÍA,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SEMIÓTICA,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
DERECHO ECONÓMICO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ECONOMETRÍA I,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
OPERACIÓN DE SISTEMAS DE POTENCIA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
GESTIÓN DE MARKETING,9B,"-2.14715, -79.96725",-2.14715,-79.96725
SISTEMAS FLEXIBLES DE MANUFACTURA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
GESTION DE PROYECTOS II,BLOQUE A,"-2.14777, -79.9688",-2.14777,-79.9688
MÚSICA FOLCLÓRICA LATINOAMERICANA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MATERIA INTEGRADORA DE DISEÑO GRÁFICO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MINERALOGÍA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
MATERIA INTEGRADORA DE INGENIERÍA INDUSTRIAL,12H,"-2.14423, -79.96633",-2.14423,-79.96633
MACROECONOMÍA III,8E,"-2.1487, -79.96782",-2.1487,-79.96782
MATERIA INTEGRADORA DE TELEMÁTICA,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
SISTEMAS DE INFORMACIÓN GEOGRÁFICA,13H,"-2.14592, -79.96581",-2.14592,-79.96581
TÉCNICAS CULINARIAS,3H,"-2.15229, -79.95582",-2.15229,-79.95582
PRESUPUESTO,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
MATERIA INTEGRADORA DE ELECTRÓNICA Y AUTOMATIZACIÓN,VRA,"-2.14509, -79.96722",-2.14509,-79.96722
RESISTENCIA DE MATERIALES,13H,"-2.14592, -79.96581",-2.14592,-79.96581
PORTAFOLIO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
PINTURA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
ESTRATEGIAS CORPORATIVAS Y DE NEGOCIOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SISTEMAS DIGITALES II,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MECÁNICA DE SÓLIDOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MANTENIMIENTO INDUSTRIAL,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DESARROLLO ORGANIZACIONAL,9F,"-2.14717, -79.96779",-2.14717,-79.96779
GESTIÓN DE LA RELACIÓN CON EL CLIENTE,9F,"-2.14717, -79.96779",-2.14717,-79.96779
PROYECTO AUDIOVISUAL I,14B,"-2.14361, -79.96212",-2.14361,-79.96212
SOCIOLOGÍA,9B,"-2.14715, -79.96725",-2.14715,-79.96725
ECONOMETRÍA III,9C,"-2.14725, -79.96693",-2.14725,-79.96693
METODOLOGÍA DE LA INVESTIGACIÓN EN COMPUTACIÓN,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
TERMODINÁMICA I,9M,"-2.14682, -79.96671",-2.14682,-79.96671
CINÉTICA Y REACTORES,9I,"-2.14608, -79.96717",-2.14608,-79.96717
HISTORIA Y FILOSOFÍA DEL PENSAMIENTO ECONÓMICO,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SISTEMAS DIGITALES I,11D,"-2.14542, -79.96613",-2.14542,-79.96613
TERMODINÁMICA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
QUÍMICA ORGÁNICA II,8G,"-2.14859, -79.9672",-2.14859,-79.9672
INSTALACIONES ELÉCTRICAS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
PROYECTOS INDUSTRIALES,12C,"-2.14497, -79.96579",-2.14497,-79.96579
SEGURIDAD DE LA INFORMACIÓN,11D,"-2.14542, -79.96613",-2.14542,-79.96613
SISTEMAS DE CONTROL DE PRODUCCIÓN,12C,"-2.14497, -79.96579",-2.14497,-79.96579
MICROECONOMÍA I,8F,"-2.14877, -79.96752",-2.14877,-79.96752
REDES DE DATOS,11B,"-2.14509, -79.96725",-2.14509,-79.96725
APLICACIONES ELECTRÓNICAS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
INGLÉS IV,9F,"-2.14717, -79.96779",-2.14717,-79.96779
COMUNICACIÓN,9I,"-2.14608, -79.96717",-2.14608,-79.96717
SISTEMAS EMBEBIDOS,11A,"-2.14464, -79.96763",-2.14464,-79.96763
MICROECONOMÍA II,9F,"-2.14717, -79.96779",-2.14717,-79.96779
DISEÑO DE SISTEMAS MECÁNICOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DIBUJO PARA INGENIERÍA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
FUNDAMENTOS DE PROGRAMACIÓN,11D,"-2.14542, -79.96613",-2.14542,-79.96613
MATEMÁTICAS FINANCIERAS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
SISTEMAS OPERATIVOS,11A,"-2.14464, -79.96763",-2.14464,-79.96763
PROGRAMACIÓN ORIENTADA A OBJETOS,11B,"-2.14509, -79.96725",-2.14509,-79.96725
PROGRAMACIÓN DE SISTEMAS,11C,"-2.14565, -79.96656",-2.14565,-79.96656
ORGANIZACIÓN DE COMPUTADORES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
SISTEMAS DE CONTROL APLICADOS,12C,"-2.14497, -79.96579",-2.14497,-79.96579
INTRODUCCIÓN A LA ECONOMÍA,9B,"-2.14715, -79.96725",-2.14715,-79.96725
PROGRAMACIÓN DE SISTEMAS TELEMÁTICOS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
ADMINISTRACIÓN LOGÍSTICA,9B,"-2.14715, -79.96725",-2.14715,-79.96725
FUNDAMENTOS DE MARKETING,9F,"-2.14717, -79.96779",-2.14717,-79.96779
ECONOMETRÍA II,9F,"-2.14717, -79.96779",-2.14717,-79.96779
CONTABILIDAD DE COSTOS,8E,"-2.1487, -79.96782",-2.1487,-79.96782
GESTIÓN DE LA CADENA DE SUMINISTRO SOSTENIBLE,12C,"-2.14497, -79.96579",-2.14497,-79.96579
TERMOFLUIDOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
ARTE Y CIENCIA,14B,"-2.14361, -79.96212",-2.14361,-79.96212
SISTEMAS DISTRIBUIDOS Y COMPUTACIÓN EN LA NUBE,11D,"-2.14542, -79.96613",-2.14542,-79.96613
ANÁLISIS Y RESOLUCIÓN DE PROBLEMAS,11D,"-2.14542, -79.96613",-2.14542,-79.96613
GESTIÓN DE PROYECTOS,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
FÍSICA: ELECTRÓNICA Y ÓPTICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
DERECHO SOCIETARIO Y LABORAL,9F,"-2.14717, -79.96779",-2.14717,-79.96779
FISICOQUÍMICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
MÉTODOS NUMÉRICOS,9C,"-2.14725, -79.96693",-2.14725,-79.96693
ADMINISTRACIÓN DE OPERACIONES,9F,"-2.14717, -79.96779",-2.14717,-79.96779
DISEÑO ESTRATÉGICO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
AGENCIAS DE VIAJE,9B,"-2.14715, -79.96725",-2.14715,-79.96725
EMPRENDIMIENTO E INNOVACIÓN,13B,"-2.1456, -79.96506",-2.1456,-79.96506
CÁLCULO DE VARIAS VARIABLES,9M,"-2.14682, -79.96671",-2.14682,-79.96671
