NOMBRE,BLOQUE,Coordenadas,LATS,LONGS
ESTADÍSTICA MATEMÁTICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
SÍNTESIS Y CARACTERIZACIÓN DE PRODUCTOS QUÍMICOS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
GEOMETRÍA AXIOMÁTICA,9M,"-2.14682, -79.96671",-2.14682,-79.96671
ENTRENAMIENTO DE FUERZA,DEPORTES,"-2.14356, -79.96798",-2.14356,-79.96798
HORMIGÓN Y MATERIALES DE CONSTRUCCIÓN,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO DE PRODUCTOS III,14B,"-2.14361, -79.96212",-2.14361,-79.96212
APLICACIONES MÓVILES Y SERVICIOS TELEMÁTICOS,11C,"-2.14565, -79.96656",-2.14565,-79.96656
SISTEMAS DE COMUNICACIONES I,11A,"-2.14464, -79.96763",-2.14464,-79.96763
DISEÑO DE PROCESOS TÉRMICOS I,12C,"-2.14497, -79.96579",-2.14497,-79.96579
REOLOGÍA DE FLUIDOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
INGENIERÍA SISMO-RESISTENTE,13H,"-2.14592, -79.96581",-2.14592,-79.96581
DISEÑO DE PRODUCTOS I,14B,"-2.14361, -79.96212",-2.14361,-79.96212
PRODUCCIÓN PARA NUEVOS MEDIOS,14B,"-2.14361, -79.96212",-2.14361,-79.96212
SALUD COMUNITARIA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
MAQUINARIA MARÍTIMA II,5K,"-2.14675, -79.96303",-2.14675,-79.96303
ESTRATEGIAS DE GESTIÓN,9F,"-2.14717, -79.96779",-2.14717,-79.96779
FORMULACIÓN Y EVALUACIÓN DE PROYECTOS,9F,"-2.14717, -79.96779",-2.14717,-79.96779
TENIS,DEPORTES,"-2.15393, -79.95941",-2.15393,-79.95941
DISEÑO ESTRUCTURAL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
MATERIA INTEGRADORA DE PRODUCCIÓN PARA MEDIOS DE COMUNICACIÓN,FADCOM,"-2.14391, -79.96202",-2.14391,-79.96202
MATERIA INTEGRADORA DE LOGÍSTICA Y TRANSPORTE,FCNM,"-2.14698, -79.96746",-2.14698,-79.96746
TEORÍA ELECTROMAGNÉTICA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
DISEÑO DE PLANTAS ALIMENTARIAS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
PRINCIPIOS DE ECOTOXICOLOGÍA,3D,"-2.15063, -79.95777",-2.15063,-79.95777
ECOLOGÍA DE ECOSISTEMAS,3H,"-2.15229, -79.95582",-2.15229,-79.95582
BIENESTAR ANIMAL,5K,"-2.14675, -79.96303",-2.14675,-79.96303
MODELADO Y SIMULACIÓN DE ESTRUCTURAS Y MÁQUINAS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
BIOLOGÍA DE LA CONSERVACIÓN,3H,"-2.15229, -79.95582",-2.15229,-79.95582
NUTRICIÓN EN EL CICLO DE LA VIDA II,3H,"-2.15229, -79.95582",-2.15229,-79.95582
DESARROLLO ORGANIZACIONAL,FCSH,"-2.1478, -79.96865",-2.1478,-79.96865
MATERIA INTEGRADORA DE COMPUTACIÓN,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
BALONCESTO,DEPORTES,"-2.14208, -79.96719",-2.14208,-79.96719
POSTPRODUCCIÓN,14B,"-2.14361, -79.96212",-2.14361,-79.96212
MATEMÁTICAS SUPERIORES,9I,"-2.14608, -79.96717",-2.14608,-79.96717
SANIDAD E HIGIENE ALIMENTARIA,12H,"-2.14423, -79.96633",-2.14423,-79.96633
ANÁLISIS ESTRUCTURAL,13H,"-2.14592, -79.96581",-2.14592,-79.96581
FISIOLOGÍA ANIMAL,3D,"-2.15063, -79.95777",-2.15063,-79.95777
ESTABILIDAD Y CONTROL DE SISTEMAS DE POTENCIA,11F,"-2.14528, -79.96718",-2.14528,-79.96718
AMBIENTES INTELIGENTES,11C,"-2.14565, -79.96656",-2.14565,-79.96656
CALIDAD DE SERVICIO Y REDES MULTIMEDIA,11D,"-2.14542, -79.96613",-2.14542,-79.96613
PROCESAMIENTO DE FRUTAS Y VEGETALES,12H,"-2.14423, -79.96633",-2.14423,-79.96633
MATERIA INTEGRADORA DE ALIMENTOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
APRECIACIÓN MUSICAL,14B,"-2.14361, -79.96212",-2.14361,-79.96212
EVALUACIÓN DEL ESTADO NUTRICIONAL I,3H,"-2.15229, -79.95582",-2.15229,-79.95582
TRATAMIENTO DE AGUAS,9M,"-2.14682, -79.96671",-2.14682,-79.96671
INTERACCIÓN HUMANO COMPUTADOR,FIEC,"-2.14458, -79.96767",-2.14458,-79.96767
HERRAMIENTAS DE MANUFACTURA ESBELTA,12C,"-2.14497, -79.96579",-2.14497,-79.96579
DESARROLLO DE NUEVOS PRODUCTOS ALIMENTICIOS,12H,"-2.14423, -79.96633",-2.14423,-79.96633
PLANIFICACIÓN Y CONSTRUCCIÓN,5K,"-2.14675, -79.96303",-2.14675,-79.96303
CIBERSEGURIDAD Y GESTIÓN DE REDES,11D,"-2.14542, -79.96613",-2.14542,-79.96613
DISEÑO DE SONIDO,14B,"-2.14361, -79.96212",-2.14361,-79.96212
EMBRIOLOGÍA,3H,"-2.15229, -79.95582",-2.15229,-79.95582
